"Term_id"	"Group"	"QC"
"342"	"GO:0001817"	"immune system process"	"+"
"343"	"GO:0001818"	"immune system process"	"+"
"344"	"GO:0001819"	"immune system process"	"+"
"345"	"GO:0001820"	"neural related process"	"0.272571646399362"
"346"	"GO:0001821"	"immune system process"	"0.361066424217949"
"347"	"GO:0001822"	"morphogenesis/development"	"+"
"348"	"GO:0001823"	"morphogenesis/development"	"0.990337969064209"
"349"	"GO:0001824"	"morphogenesis/development"	"+"
"350"	"GO:0001825"	"morphogenesis/development"	"+"
"351"	"GO:0001826"	"morphogenesis/development"	"0.93956044085224"
"352"	"GO:0001827"	"morphogenesis/development"	"0.479267266032567"
"353"	"GO:0001828"	"cell cycle"	"0.624169524808988"
"354"	"GO:0001829"	"morphogenesis/development"	"0.982087305543001"
"355"	"GO:0001830"	"morphogenesis/development"	"0.844754755910621"
